event_id,customer_id,event_date,event_type,plan_from,plan_to,cancellation_reason
EVT-00389,CUST-0246,2024-11-19,cancellation,Growth,,Missing Features
EVT-00390,CUST-0247,07/30/2024,downgrade,Pro,Starter,
EVT-00391,CUST-0247,05/04/2025,downgrade,Starter,Enterprise,
EVT-00392,CUST-0247,04/23/2025,cancellation,Enterprise,,Poor Support
EVT-00393,CUST-0248,05/18/2023,upgrade,Pro,Starter,
EVT-00394,CUST-0248,03/17/2024,upgrade,Starter,Growth,
EVT-00395,CUST-0249,07/24/2022,downgrade,Growth,Growth,
EVT-00396,CUST-0249,2022-12-05,upgrade,Growth,Growth,
EVT-00397,CUST-0250,2024-06-23,downgrade,Pro,Growth,
EVT-00398,CUST-0250,04/05/2025,downgrade,Growth,Enterprise,
EVT-00399,CUST-0251,12/20/2022,downgrade,Growth,Pro,
EVT-00400,CUST-0251,02/21/2023,upgrade,Pro,Enterprise,
EVT-00401,CUST-0251,2024-03-08,downgrade,Enterprise,Starter,
EVT-00402,CUST-0252,2023-03-11,upgrade,Growth,Growth,
EVT-00403,CUST-0252,03/12/2024,upgrade,Growth,Starter,
EVT-00404,CUST-0254,2022-08-22,upgrade,Growth,Starter,
EVT-00405,CUST-0254,2022-12-08,cancellation,Starter,,
EVT-00406,CUST-0255,2025-04-23,upgrade,Growth,Starter,
EVT-00407,CUST-0255,14-Jan-2025,cancellation,Starter,,
EVT-00408,CUST-0257,08/26/2022,upgrade,Growth,Starter,
EVT-00409,CUST-0257,2022-11-20,downgrade,Starter,Starter,
EVT-00410,CUST-0257,2023-06-03,cancellation,Starter,,Price
EVT-00411,CUST-0260,04/04/2023,upgrade,Starter,Enterprise,
EVT-00412,CUST-0262,05/01/2025,upgrade,Pro,Pro,
EVT-00413,CUST-0263,2024-09-17,upgrade,Growth,Enterprise,
EVT-00414,CUST-0263,11/20/2024,upgrade,Enterprise,Enterprise,
EVT-00415,CUST-0264,2023-08-11,upgrade,Starter,Pro,
EVT-00416,CUST-0264,2024-06-16,downgrade,Pro,Pro,
EVT-00417,CUST-0264,07/26/2024,upgrade,Pro,Enterprise,
EVT-00418,CUST-0265,2024-10-18,cancellation,Pro,,Missing Features
EVT-00419,CUST-0266,2022-12-31,upgrade,Starter,Starter,
EVT-00420,CUST-0266,2023-09-17,upgrade,Starter,Growth,
EVT-00421,CUST-0267,04/02/2023,downgrade,Pro,Growth,
EVT-00422,CUST-0267,10/20/2023,upgrade,Growth,Starter,
EVT-00423,CUST-0268,2023-01-31,upgrade,Pro,Starter,
EVT-00424,CUST-0268,2023-07-26,upgrade,Starter,Growth,
EVT-00425,CUST-0269,07/30/2022,upgrade,Growth,Growth,
EVT-00426,CUST-0269,07/10/2022,cancellation,GROWTH,,Budget Cuts
EVT-00427,CUST-0270,2024-12-28,upgrade,Pro,Enterprise,
EVT-00428,CUST-0272,10/21/2023,upgrade,Starter,Growth,
EVT-00429,CUST-0273,2022-10-06,upgrade,Pro,Pro,
EVT-00430,CUST-0273,01/27/2023,downgrade,Pro,Starter,
EVT-00431,CUST-0273,21-Nov-2022,cancellation,Starter,,Missing Features
EVT-00432,CUST-0274,2025-02-16,upgrade,Growth,Pro,
EVT-00433,CUST-0274,2025-03-30,cancellation,Pro,,
EVT-00434,CUST-0276,2024-02-13,downgrade,Growth,Pro,
EVT-00435,CUST-0276,02/20/2025,downgrade,Pro,Starter,
EVT-00436,CUST-0277,04/18/2025,upgrade,Growth,Starter,
EVT-00437,CUST-0277,2025-01-08,cancellation,Starter,,Switched Competitor
EVT-00438,CUST-0278,2023-06-04,upgrade,Growth,Growth,
EVT-00439,CUST-0278,05/30/2024,upgrade,Growth,Growth,
EVT-00440,CUST-0278,2025-05-13,upgrade,Growth,Pro,
EVT-00441,CUST-0278,22-Feb-2025,cancellation,Pro,,Poor Support
EVT-00442,CUST-0279,07/05/2024,downgrade,Growth,Starter,
EVT-00443,CUST-0279,10/16/2024,upgrade,Starter,Enterprise,
EVT-00444,CUST-0279,03/18/2025,cancellation,Enterprise,,Price
EVT-00445,CUST-0280,10/09/2024,upgrade,Starter,Pro,
EVT-00446,CUST-0281,2024-10-01,upgrade,Starter,Enterprise,
EVT-00447,CUST-0281,2024-08-31,cancellation,Enterprise,,Price
EVT-00448,CUST-0282,08/13/2024,upgrade,Starter,Pro,
EVT-00449,CUST-0283,2024-03-16,downgrade,Growth,Enterprise,
EVT-00450,CUST-0283,04/27/2024,upgrade,Enterprise,Enterprise,
EVT-00451,CUST-0283,19-May-2024,cancellation,Enterprise,,Switched Competitor
EVT-00452,CUST-0285,2024-05-28,upgrade,Starter,Starter,
EVT-00453,CUST-0285,11/12/2024,downgrade,Starter,Starter,
EVT-00454,CUST-0286,2023-07-18,upgrade,Growth,Enterprise,
EVT-00455,CUST-0287,06/24/2024,downgrade,Starter,Growth,
EVT-00456,CUST-0287,2024-12-18,upgrade,Growth,Pro,
EVT-00457,CUST-0288,11/14/2024,cancellation,Growth,,Budget Cuts
EVT-00458,CUST-0289,2023-05-20,downgrade,Enterprise,Pro,
EVT-00459,CUST-0289,04/20/2024,downgrade,Pro,Enterprise,
EVT-00460,CUST-0289,2024-09-11,upgrade,Enterprise,Pro,
EVT-00461,CUST-0289,20-Feb-2024,cancellation,Pro,,Poor Support
EVT-00462,CUST-0290,2023-06-18,upgrade,Pro,Enterprise,
EVT-00463,CUST-0290,03/24/2024,upgrade,Enterprise,Enterprise,
EVT-00464,CUST-0290,2024-06-22,downgrade,Enterprise,Enterprise,
EVT-00465,CUST-0290,13-Feb-2024,cancellation,Enterprise,,Poor Support
EVT-00466,CUST-0291,2024-03-07,downgrade,Starter,Growth,
EVT-00467,CUST-0291,04/08/2024,upgrade,Growth,Pro,
EVT-00468,CUST-0292,2024-08-27,upgrade,Starter,Growth,
EVT-00469,CUST-0293,02/05/2023,downgrade,Pro,Starter,
EVT-00470,CUST-0293,09/20/2023,downgrade,Starter,Growth,
EVT-00471,CUST-0293,2023-10-25,upgrade,Growth,Enterprise,
EVT-00472,CUST-0294,01/10/2023,upgrade,Growth,Starter,
EVT-00473,CUST-0294,06/23/2023,downgrade,Starter,Enterprise,
EVT-00474,CUST-0294,2024-07-26,downgrade,Enterprise,Starter,
EVT-00475,CUST-0295,12/16/2022,downgrade,Growth,Starter,
EVT-00476,CUST-0296,2023-12-14,upgrade,Starter,Growth,
EVT-00477,CUST-0296,07/26/2024,upgrade,Growth,Pro,
EVT-00478,CUST-0296,2023-07-18,cancellation,Pro,,Budget Cuts
EVT-00479,CUST-0297,02/22/2023,upgrade,Pro,Pro,
EVT-00480,CUST-0297,11/15/2023,upgrade,Pro,Starter,
EVT-00481,CUST-0297,2024-04-13,upgrade,Starter,Growth,
EVT-00482,CUST-0300,2025-02-19,upgrade,Starter,Starter,
EVT-00483,CUST-0301,06/17/2024,upgrade,Growth,Growth,
EVT-00484,CUST-0301,2025-03-03,downgrade,Growth,Starter,
EVT-00485,CUST-0302,2023-02-11,upgrade,Pro,Enterprise,
EVT-00486,CUST-0302,02/17/2024,upgrade,Enterprise,Enterprise,
EVT-00487,CUST-0303,2024-12-25,upgrade,Pro,Enterprise,
EVT-00488,CUST-0304,2024-05-09,upgrade,Growth,Growth,
EVT-00489,CUST-0304,10/21/2024,cancellation,Growth,,Poor Support
EVT-00490,CUST-0305,11/21/2023,downgrade,Pro,Growth,
EVT-00491,CUST-0305,2024-02-03,downgrade,Growth,Pro,
EVT-00492,CUST-0305,02/13/2024,cancellation,Pro,,Missing Features
EVT-00493,CUST-0306,12/18/2023,upgrade,Growth,Growth,
EVT-00494,CUST-0306,2024-10-02,upgrade,Growth,Growth,
EVT-00495,CUST-0307,2023-04-15,upgrade,Starter,Enterprise,
EVT-00496,CUST-0307,2023-07-02,upgrade,Enterprise,Enterprise,
EVT-00497,CUST-0307,2023-12-25,downgrade,Enterprise,Starter,
EVT-00498,CUST-0307,25-Jul-2024,cancellation,Starter,,
EVT-00499,CUST-0308,03/27/2024,downgrade,Growth,Growth,
EVT-00500,CUST-0308,11/06/2024,downgrade,Growth,Growth,
EVT-00501,CUST-0308,23-Jan-2024,cancellation,Growth,,Switched Competitor
EVT-00502,CUST-0309,2022-10-25,upgrade,Starter,Growth,
EVT-00503,CUST-0309,03/04/2023,upgrade,Growth,Enterprise,
EVT-00504,CUST-0310,2024-03-31,downgrade,Starter,Enterprise,
EVT-00505,CUST-0310,2024-11-29,upgrade,Enterprise,Starter,
EVT-00506,CUST-0310,26-Apr-2024,cancellation,Starter,,
EVT-00507,CUST-0311,2025-01-26,downgrade,Pro,Enterprise,
EVT-00508,CUST-0312,2024-12-10,upgrade,Pro,Growth,
EVT-00509,CUST-0313,2023-02-19,downgrade,Starter,Enterprise,
EVT-00510,CUST-0313,2024-01-09,upgrade,Enterprise,Growth,
EVT-00511,CUST-0313,06/24/2024,cancellation,Growth,,Switched Competitor
EVT-00512,CUST-0314,05/02/2023,upgrade,Pro,Growth,
EVT-00513,CUST-0314,06/29/2023,downgrade,Growth,Starter,
EVT-00514,CUST-0315,2024-06-03,upgrade,Pro,Growth,
EVT-00515,CUST-0315,2025-02-21,downgrade,Growth,Enterprise,
EVT-00516,CUST-0316,12-Sep-2024,cancellation,Growth,,Price
EVT-00517,CUST-0317,2025-03-17,cancellation,Starter,,Price
EVT-00518,CUST-0318,09/21/2022,downgrade,Growth,Pro,
EVT-00519,CUST-0318,2023-03-30,downgrade,Pro,Enterprise,
EVT-00520,CUST-0318,2023-09-27,upgrade,Enterprise,Pro,
EVT-00521,CUST-0320,2022-06-23,downgrade,Growth,Enterprise,
EVT-00522,CUST-0320,2023-01-11,downgrade,Enterprise,Starter,
EVT-00523,CUST-0320,2023-08-28,upgrade,Starter,Growth,
EVT-00524,CUST-0320,07/08/2022,cancellation,Growth,,
EVT-00525,CUST-0321,2024-02-08,upgrade,Starter,Enterprise,
EVT-00526,CUST-0322,08/26/2022,downgrade,Growth,Starter,
EVT-00527,CUST-0322,04/01/2023,upgrade,Starter,Pro,
EVT-00528,CUST-0322,11/01/2023,downgrade,Pro,Pro,
EVT-00529,CUST-0322,10/08/2022,cancellation,Pro,,
EVT-00530,CUST-0323,2023-08-13,cancellation,Starter,,
EVT-00531,CUST-0324,12/26/2024,upgrade,Growth,Growth,
EVT-00532,CUST-0324,04/01/2025,downgrade,Growth,Growth,
EVT-00533,CUST-0325,2024-09-18,downgrade,Growth,Starter,
EVT-00534,CUST-0326,2024-04-20,upgrade,Growth,Starter,
EVT-00535,CUST-0327,2024-01-17,downgrade,Starter,Growth,
EVT-00536,CUST-0327,05/02/2024,upgrade,Growth,Starter,
EVT-00537,CUST-0328,2022-08-21,downgrade,Enterprise,Starter,
EVT-00538,CUST-0328,2022-10-09,downgrade,Starter,Enterprise,
EVT-00539,CUST-0328,2023-09-17,upgrade,Enterprise,Starter,
EVT-00540,CUST-0329,2024-09-07,upgrade,Starter,Growth,
EVT-00541,CUST-0330,05/05/2024,cancellation,Starter,,Budget Cuts
EVT-00542,CUST-0331,2024-04-27,upgrade,Starter,Starter,
EVT-00543,CUST-0331,2024-07-09,upgrade,Starter,Pro,
EVT-00544,CUST-0333,2022-07-25,downgrade,Growth,Pro,
EVT-00545,CUST-0333,2023-06-13,downgrade,Pro,Pro,
EVT-00546,CUST-0333,2023-09-27,upgrade,Pro,Growth,
EVT-00547,CUST-0333,01/01/2024,cancellation,Growth,,
EVT-00548,CUST-0334,01/17/2024,downgrade,Pro,Growth,
EVT-00549,CUST-0334,08/18/2024,upgrade,Growth,Growth,
EVT-00550,CUST-0337,2023-12-04,upgrade,Starter,Enterprise,
EVT-00551,CUST-0337,10/12/2024,upgrade,Enterprise,Starter,
EVT-00552,CUST-0337,2025-04-27,downgrade,Starter,Starter,
EVT-00553,CUST-0338,11/19/2022,downgrade,Starter,Enterprise,
EVT-00554,CUST-0338,2023-01-03,upgrade,Enterprise,Starter,
EVT-00555,CUST-0338,2023-06-23,downgrade,Starter,Pro,
EVT-00556,CUST-0338,2024-03-08,cancellation,Pro,,Price
EVT-00557,CUST-0339,2022-12-14,upgrade,Pro,Enterprise,
EVT-00558,CUST-0340,10/25/2024,upgrade,Growth,Starter,
EVT-00559,CUST-0340,05/15/2025,cancellation,Starter,,Budget Cuts
EVT-00560,CUST-0341,11/04/2024,downgrade,Enterprise,Pro,
EVT-00561,CUST-0341,2024-12-04,downgrade,Pro,Pro,
EVT-00562,CUST-0344,05/24/2024,downgrade,Pro,Starter,
EVT-00563,CUST-0344,2024-11-24,upgrade,Starter,Enterprise,
EVT-00564,CUST-0344,11/02/2023,cancellation,Enterprise,,
EVT-00565,CUST-0345,2023-09-29,upgrade,Pro,Enterprise,
EVT-00566,CUST-0345,2024-04-09,upgrade,Enterprise,Starter,
EVT-00567,CUST-0345,2024-08-11,downgrade,Starter,Starter,
EVT-00568,CUST-0346,08/17/2024,upgrade,Starter,Growth,
EVT-00569,CUST-0346,04/15/2025,upgrade,Growth,Pro,
EVT-00570,CUST-0347,2023-02-13,downgrade,Starter,Starter,
EVT-00571,CUST-0347,2023-03-26,upgrade,Starter,Starter,
EVT-00572,CUST-0347,2023-08-24,upgrade,Starter,Growth,
EVT-00573,CUST-0348,2023-05-20,downgrade,Growth,Enterprise,
EVT-00574,CUST-0349,2024-06-22,upgrade,Growth,Pro,
EVT-00575,CUST-0349,09/04/2024,cancellation,Pro,,Budget Cuts
EVT-00576,CUST-0350,2022-03-29,downgrade,Starter,Growth,
EVT-00577,CUST-0350,2022-09-12,upgrade,Growth,Starter,
EVT-00578,CUST-0351,2024-06-26,upgrade,Growth,Pro,
EVT-00579,CUST-0352,2023-04-20,upgrade,Growth,Starter,
EVT-00580,CUST-0352,2023-11-17,downgrade,Starter,Enterprise,
EVT-00581,CUST-0352,09/17/2024,downgrade,Enterprise,Growth,
EVT-00582,CUST-0353,2022-06-19,upgrade,Starter,Starter,
EVT-00583,CUST-0355,2024-05-13,upgrade,Starter,Starter,
EVT-00584,CUST-0355,2024-11-18,cancellation,Starter,,
EVT-00585,CUST-0356,07/06/2024,upgrade,Starter,Growth,
EVT-00586,CUST-0357,2024-12-22,upgrade,Enterprise,Enterprise,
EVT-00587,CUST-0357,05/09/2025,cancellation,Enterprise,,
EVT-00588,CUST-0358,2024-02-28,downgrade,Starter,Starter,
EVT-00589,CUST-0358,03/13/2025,upgrade,Starter,Starter,
EVT-00590,CUST-0359,2024-10-19,cancellation,Starter,,Budget Cuts
EVT-00591,CUST-0360,2023-03-11,upgrade,Starter,Starter,
EVT-00592,CUST-0360,2023-05-30,upgrade,Starter,Pro,
EVT-00593,CUST-0360,2024-02-17,cancellation,Pro,,
EVT-00594,CUST-0361,04/09/2025,downgrade,Growth,Pro,
EVT-00595,CUST-0363,12/25/2023,upgrade,Growth,Starter,
EVT-00596,CUST-0363,2024-09-12,downgrade,Starter,Growth,
EVT-00597,CUST-0364,12/23/2024,upgrade,Starter,Starter,
EVT-00598,CUST-0365,17-May-2024,cancellation,Starter,,Price
EVT-00599,CUST-0366,04/05/2024,downgrade,Pro,Pro,
EVT-00600,CUST-0366,2025-01-30,upgrade,Pro,Enterprise,
EVT-00601,CUST-0367,2024-11-17,downgrade,Starter,Enterprise,
EVT-00602,CUST-0369,2024-10-07,upgrade,Growth,Pro,
EVT-00603,CUST-0370,2025-04-27,upgrade,Growth,Growth,
EVT-00604,CUST-0372,03/12/2023,upgrade,STARTER,Growth,
EVT-00605,CUST-0373,2022-12-25,upgrade,Enterprise,Starter,
EVT-00606,CUST-0373,2023-07-29,downgrade,Starter,Enterprise,
EVT-00607,CUST-0373,02-Sep-2022,cancellation,Enterprise,,Switched Competitor
EVT-00608,CUST-0374,11/08/2022,upgrade,Pro,Pro,
EVT-00609,CUST-0375,2023-10-15,upgrade,Growth,Enterprise,
EVT-00610,CUST-0375,07/09/2024,downgrade,Enterprise,Pro,
EVT-00611,CUST-0375,2024-11-27,upgrade,Pro,Starter,
EVT-00612,CUST-0376,2023-01-12,upgrade,Starter,Starter,
EVT-00613,CUST-0376,10/07/2023,upgrade,Starter,Growth,
EVT-00614,CUST-0376,2023-12-31,upgrade,Growth,Enterprise,
EVT-00615,CUST-0376,11/07/2023,cancellation,Enterprise,,
EVT-00616,CUST-0378,2023-06-06,downgrade,Growth,Starter,
EVT-00617,CUST-0378,12/08/2023,upgrade,Starter,Enterprise,
EVT-00618,CUST-0378,2024-07-01,downgrade,Enterprise,Pro,
EVT-00619,CUST-0379,05/12/2024,upgrade,Pro,Enterprise,
EVT-00620,CUST-0379,09/16/2024,downgrade,Enterprise,Pro,
EVT-00621,CUST-0380,13-Jan-2024,cancellation,Starter,,
EVT-00622,CUST-0381,05/10/2025,upgrade,Enterprise,Enterprise,
EVT-00623,CUST-0383,03/10/2025,downgrade,Starter,Growth,
EVT-00624,CUST-0384,2023-08-14,upgrade,Starter,Starter,
EVT-00625,CUST-0384,07/23/2024,upgrade,Starter,Growth,
EVT-00626,CUST-0385,06/17/2023,upgrade,Starter,Starter,
EVT-00627,CUST-0385,2023-09-14,downgrade,Starter,Pro,
EVT-00628,CUST-0385,2023-05-20,cancellation,Pro,,
EVT-00629,CUST-0386,09/29/2022,upgrade,Pro,Enterprise,
EVT-00630,CUST-0386,2022-12-21,upgrade,Enterprise,Starter,
EVT-00631,CUST-0386,2023-08-29,downgrade,Starter,Pro,
EVT-00632,CUST-0387,02/21/2023,downgrade,Enterprise,Enterprise,
EVT-00633,CUST-0387,11/16/2023,upgrade,Enterprise,Starter,
EVT-00634,CUST-0387,07/02/2024,upgrade,Starter,Growth,
EVT-00635,CUST-0387,2024-05-19,cancellation,Growth,,Poor Support
EVT-00636,CUST-0389,2022-06-11,downgrade,Growth,Pro,
EVT-00637,CUST-0389,01/31/2023,downgrade,Pro,Starter,
EVT-00638,CUST-0389,05/29/2023,upgrade,Starter,Growth,
EVT-00639,CUST-0390,06/22/2023,upgrade,Growth,Starter,
EVT-00640,CUST-0390,08/21/2023,upgrade,Starter,Enterprise,
EVT-00641,CUST-0391,2022-09-03,upgrade,Growth,Pro,
EVT-00642,CUST-0391,12/21/2022,upgrade,Pro,Growth,
EVT-00643,CUST-0391,10/28/2023,downgrade,Growth,Starter,
EVT-00644,CUST-0391,27-Sep-2022,cancellation,Starter,,Missing Features
EVT-00645,CUST-0393,10-Jan-2023,cancellation,Enterprise,,
EVT-00646,CUST-0394,07/09/2022,upgrade,Growth,Enterprise,
EVT-00647,CUST-0395,2023-06-20,upgrade,Starter,Growth,
EVT-00648,CUST-0395,2024-03-28,upgrade,Growth,Enterprise,
EVT-00649,CUST-0395,2023-05-17,cancellation,Enterprise,,
EVT-00650,CUST-0396,2022-12-01,upgrade,Growth,Growth,
EVT-00651,CUST-0396,05/21/2023,upgrade,Growth,Pro,
EVT-00652,CUST-0396,2024-04-23,upgrade,Pro,Growth,
EVT-00653,CUST-0396,04/21/2024,cancellation,Growth,,Missing Features
EVT-00654,CUST-0398,2024-11-30,upgrade,Pro,Pro,
EVT-00655,CUST-0398,15-Jan-2025,cancellation,Pro,,Poor Support
EVT-00656,CUST-0400,2023-08-23,upgrade,Growth,Growth,
EVT-00245,CUST-0152,02/02/2025,cancellation,Enterprise,,Switched Competitor
EVT-00046,CUST-0029,2024-01-29,upgrade,Pro,Enterprise,
EVT-00102,CUST-0062,2024-07-04,downgrade,Enterprise,Pro,
EVT-00457,CUST-0288,11/14/2024,cancellation,Growth,,Budget Cuts
